Apples,Bananas,Grapes,PeachesNectarines,Strawberries,OtherBerries,Citrus,Melons,OtherFruit,Pears,Tomatoes,Carrots,Broccoli,Spinach,Lettuce,StringBeans,Cabbage,Onions,Corn,OtherVeg,Potatoes
63101000,63107010,63123000,63131010,63223020,63200100,61100600,63109010,63100100,63137010,74101000,73101010,72103000,72125100,72116000,75101800,75103000,75117010,75109600,63105010,71000100
NA,63107410,NA,63135010,63223110,63201010,61101010,63127010,63100110,63137050,74201000,73102190,72103030,72125211,72116150,75205005,75104000,75117020,75215990,73111211,71100100
NA,NA,NA,63135110,63223610,63201600,61101200,63149010,63103010,63137110,74201001,73102211,72201100,72125212,72124100,75205021,75105000,75218400,75216111,73111212,71101000
NA,NA,NA,63135140,NA,63203010,61110010,NA,63103110,63137140,74201003,73102212,72201190,72125213,75113000,75205022,75210010,75221011,75216112,73111213,71102980
NA,NA,NA,63135170,NA,63203110,61113010,NA,63109700,63137170,74204500,73102213,72201211,72125217,75113060,75205023,75210020,75221021,75216113,73111220,71102990
NA,NA,NA,63135620,NA,63203600,61116010,NA,63111010,NA,74206000,73102217,72201212,72125218,75113080,75205030,75211020,75221030,75216120,73111221,71103000
NA,NA,NA,NA,NA,63207010,61119010,NA,63115010,NA,NA,73102218,72201220,72125220,75114000,75205031,75211030,75221061,75216121,73111222,71103010
NA,NA,NA,NA,NA,63207110,61122300,NA,63115110,NA,NA,73102220,72201221,72125221,75143000,75205032,75211031,NA,75216122,73111223,71103020
NA,NA,NA,NA,NA,63219000,61122320,NA,63115200,NA,NA,73102221,72201222,72125222,75143050,75205033,75211032,NA,75216123,75100250,71103030
NA,NA,NA,NA,NA,63219610,61122330,NA,63116010,NA,NA,73102222,72201223,72125223,75143100,75205044,75212020,NA,75216134,75100300,71103040
NA,NA,NA,NA,NA,NA,61125010,NA,63119010,NA,NA,73102223,72201224,72125224,75143200,75205045,75213020,NA,75216135,75100500,71103050
NA,NA,NA,NA,NA,NA,NA,NA,63119110,NA,NA,73102224,72201226,72125225,75143300,75205047,NA,NA,75216137,75100750,71103105
NA,NA,NA,NA,NA,NA,NA,NA,63125010,NA,NA,73102225,72201227,72125227,75143350,75205048,NA,NA,75216138,75100800,71103115
NA,NA,NA,NA,NA,NA,NA,NA,63126500,NA,NA,73102227,72203000,72125228,75220051,75205050,NA,NA,75216141,75101000,71103125
NA,NA,NA,NA,NA,NA,NA,NA,63126510,NA,NA,73102228,72203070,72125230,NA,75205051,NA,NA,75216142,75102500,71103135
NA,NA,NA,NA,NA,NA,NA,NA,63134010,NA,NA,73102241,NA,NA,NA,75205120,NA,NA,75216153,75102600,71103140
NA,NA,NA,NA,NA,NA,NA,NA,63139010,NA,NA,73103010,NA,NA,NA,75205130,NA,NA,75216310,75102750,71103150
NA,NA,NA,NA,NA,NA,NA,NA,63143010,NA,NA,73103020,NA,NA,NA,75205131,NA,NA,75216320,75105500,71103300
NA,NA,NA,NA,NA,NA,NA,NA,63143110,NA,NA,73103021,NA,NA,NA,75205132,NA,NA,75216321,75107000,71103310
NA,NA,NA,NA,NA,NA,NA,NA,63145010,NA,NA,73103022,NA,NA,NA,75206020,NA,NA,75216322,75109000,71103320
