"year","Apples","Bananas","Grapes","PeachesNectarines","Strawberries","OtherBerries","Citrus","Melons","OtherFruit","Pears","Tomatoes","Carrots","Broccoli","Spinach","Lettuce","StringBeans","Cabbage","Onions","Corn","OtherVeg","Potatoes"
"unit","cwt","cwt","cwt","cwt","cwt","cwt","cwt","cwt","cwt","cwt","cwt","cwt","cwt","cwt","cwt","cwt","cwt","cwt","cwt","cwt","cwt"
"1990","20.9","38","26.95","26.4","55.3","90.0","10.625","10.3297100526019","49.3053547523427","18","27.4","11.9","22.3","28.2","12.0192932221387","36.8","7.7","10.5","15.0","20.2840053928177","8.0"
"1991","25.1","41","27.45","21.1","54.0","84.0","18.5","10.6931004264766","57.4005400998675","19.25","31.7","14.6","22.0","31.0","11.9059924957196","45.1","8.3","12.5","17.0","23.1998197800581","5.7"
"1992","19.5","41","21.3","21.2","61.5","104.0","10.125","8.88367252696507","43.7035987345109","18.9","35.8","10.8","23.5","23.4","13.8444797336387","35.2","9.1","13.0","14.4","22.8498168922678","6.8"
"1993","18.4","38","33.9","22.1","54.0","87.0","8.625","10.384931988743","59.2066093702464","14","31.7","11.7","26.6","30.3","17.7355289421158","37.4","11.4","16.5","17.8","24.0177793244351","8.0"
"1994","18.6","37","29.05","18.8","60.2","86.0","9.625","10.3748388868251","59.7461187864976","12.9","27.4","12.9","27.5","29.4","15.379671401363","37.7","9.3","10.8","17.2","22.7954671305971","6.9"
"1995","24.1","40","31","26.0","60.4","88.0","9.5","12.5197544642857","78.867527568195","17.15","25.5","16.7","29.3","32.2","24.9705059646236","36.5","11.5","9.9","18.3","25.5032619654182","8.9"
"1996","20.8","40","36.25","33.1","56.5","100.0","10.375","10.7528370489476","82.4492593898783","24.8","28.2","13.4","27.1","29.3","16.5461542315979","42.0","10.2","10.5","16.9","23.8423431287995","5.1"
"1997","22.1","38","30.35","24.4","65.6","102.0","10","11.7361223338568","70.3614735732173","16.45","31.7","12.9","29.1","31.3","19.0233942429722","40.6","11.1","12.6","17.7","25.5600626847148","6.7"
"1998","17.3","35","31.55","30.1","74.1","87.0","9.5","12.4815781205819","65.616562880252","18.75","35.2","12.2","30.2","35.9","18.4157118337431","48.9","12.9","13.0","17.2","27.0780386079504","6.9"
"1999","21.3","35","33","28.6","74.4","102.0","17.25","11.1016328812263","67.1616548807085","19.4","25.8","16.8","24.1","32.1","15.0989156849823","46.5","11.3","9.7","16.9","27.428609652871","6.9"
"2000","17.8","36","32.35","27.6","64.9","115.0","7","11.0357262673956","79.0019915199794","16.05","30.7","13.1","31.2","31.8","19.2283493800221","42.6","12.3","11.2","18.5","28.1293291811838","5.3"
"2001","22.9","38","34.5","30.7","75.8","109.0","9.625","11.863700579552","72.4543952220805","16.7","30.0","17.1","26.5","32.4","19.2871647549749","45.0","13.4","10.7","19.5","27.847922024753","10.8"
"2002","25.8","43","34.3","30.6","71.3","117.0","11.25","12.1841786773583","87.1049348443777","18.05","31.6","19.1","31.4","34.2","23.5591945182492","47.6","12.9","12.1","19.2","27.5462302076521","9.6"
"2003","26.1","41","34.45","29.1","74.9","120.0","8.125","12.3888775182905","79.6344865240482","17.9","37.4","19.0","32.7","36.9","21.8278439274592","49.2","13.3","13.7","19.2","28.3844305591342","7.3"
